Release;Filename;LOC;NR;nAuth;locTouched;locAdded;max_locAdded;avg_locAdded;churn;max_churn;avg_churn;chgSetSize;max_chgSetSize;avg_chgSetSize;Buggy
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java;90;2;2;118;111;111;108.0;104;104;108.0;78;78;30.0;N
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java;46;1;1;54;54;54;54.0;54;54;54.0;0;0;0.0;N
1;hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java;141;2;2;164;163;163;163.0;162;162;163.0;78;78;30.0;Y
1;hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java;5842;2;2;18077;12222;12222;9604.0;6367;6500;9604.0;78;78;37.0;Y
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java;123;2;2;157;155;155;154.0;153;153;154.0;78;78;30.0;N
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java;37;1;1;43;43;43;43.0;43;43;43.0;0;0;0.0;Y
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java;35;2;2;43;42;42;42.0;41;41;42.0;78;78;30.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java;79;3;3;205;155;155;135.0;105;105;135.0;127;127;41.0;Y
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java;84;5;5;191;148;148;128.0;105;105;128.0;226;226;66.0;Y
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java;70;4;4;160;126;126;109.0;92;92;109.0;192;192;62.0;Y
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java;87;3;3;201;151;151;128.0;101;101;128.0;127;127;41.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java;37;1;1;45;45;45;45.0;45;45;45.0;0;0;0.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java;246;2;2;291;290;290;290.0;289;289;290.0;78;78;30.0;Y
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java;28;2;2;38;35;35;33.0;32;32;33.0;49;49;12.0;Y
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java;94;1;1;111;111;111;111.0;111;111;111.0;0;0;0.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java;30;2;2;37;36;36;36.0;35;35;36.0;78;78;30.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java;65;1;1;81;81;81;81.0;81;81;81.0;0;0;0.0;Y
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java;23;1;1;27;27;27;27.0;27;27;27.0;0;0;0.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java;23;1;1;28;28;28;28.0;28;28;28.0;0;0;0.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java;26;2;2;31;30;30;30.0;29;29;30.0;78;78;30.0;Y
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java;459;4;4;634;600;600;579.0;566;566;579.0;209;209;74.0;Y
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java;54;2;2;96;80;80;70.0;64;64;70.0;78;78;30.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java;26;2;2;31;30;30;30.0;29;29;30.0;78;78;30.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java;53;2;2;66;65;65;65.0;64;64;65.0;78;78;30.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java;33;2;2;43;40;40;39.0;37;37;39.0;78;78;30.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java;58;2;2;90;79;79;73.0;68;68;73.0;78;78;30.0;Y
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java;132;3;3;176;165;165;158.0;154;154;158.0;127;127;41.0;Y
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java;62;2;2;74;73;73;73.0;72;72;73.0;78;78;30.0;Y
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java;335;6;6;415;400;400;383.0;385;385;383.0;317;317;103.0;Y
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java;67;2;2;80;78;78;77.0;76;76;77.0;78;78;30.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java;139;3;3;167;163;163;160.0;159;159;160.0;127;127;41.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java;619;3;3;1035;886;886;812.0;737;737;812.0;127;127;41.0;Y
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java;64;2;2;78;76;76;75.0;74;74;75.0;78;78;30.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java;78;3;3;100;97;97;95.0;94;94;95.0;127;127;41.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java;21;1;1;22;22;22;22.0;22;22;22.0;0;0;0.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java;357;3;3;451;439;439;432.0;427;427;432.0;127;127;41.0;Y
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java;49;1;1;62;62;62;62.0;62;62;62.0;0;0;0.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java;50;2;2;60;59;59;59.0;58;58;59.0;78;78;30.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java;82;2;2;101;96;96;94.0;91;91;94.0;78;78;30.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java;26;2;2;29;28;28;28.0;27;27;28.0;78;78;30.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java;67;2;2;81;79;79;78.0;77;77;78.0;78;78;30.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java;583;3;3;780;742;742;719.0;704;704;719.0;127;127;41.0;Y
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java;55;2;2;71;67;67;65.0;63;63;65.0;78;78;30.0;N
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java;32;1;1;37;37;37;37.0;37;37;37.0;0;0;0.0;N
